symbol,identifier,series,purpose,lastPrice,change,pChange,previousClose,finalQuantity,totalTurnover,marketCap,yearHigh,yearLow,iep
BECTORFOOD,BECTORFOODEQN,EQ,,0,3.55,1.85,191.45,0,0,-,330.8,188.65,195.0
NBCC,NBCCEQN,EQ,,0,1.56,1.85,84.44,0,0,-,130.7,75.0,86.0
HLEGLAS,HLEGLASEQN,EQ,,0,5.7,1.84,309.3,0,0,-,661.95,217.83,315.0
KWIL,KWILEQN,EQ,,0,0.47,1.84,25.54,0,0,-,31.29,24.25,26.01
THYROCARE,THYROCAREEQN,EQ,,0,6.85,1.83,375.15,0,0,-,536.67,219.57,382.0
GAYAHWS,GAYAHWSEQN,EQ,,0,0.04,1.83,2.19,0,0,-,4.76,0.8,2.23
ATULAUTO,ATULAUTOEQN,EQ,,0,7.7,1.82,422.3,0,0,-,554.0,381.15,430.0
SOLARINDS,SOLARINDSEQN,EQ,,0,273.0,1.82,14977.0,0,0,-,17820.0,9445.05,15250.0
GENUSPAPER,GENUSPAPEREQN,EQ,,0,0.21,1.82,11.57,0,0,-,22.01,11.02,11.78
GRASIM,GRASIMEQN,EQ,,0,48.8,1.82,2681.2,0,0,-,2979.0,2363.3,2730.0
BLUESTONE,BLUESTONEEQN,EQ,,0,8.65,1.82,476.35,0,0,-,793.0,399.8,485.0
NTPCGREEN,NTPCGREENEQN,EQ,,0,1.56,1.81,86.34,0,0,-,117.64,84.0,87.9
AJOONI,AJOONIEQN,EQ,,0,0.08,1.81,4.42,0,0,-,7.6,3.55,4.5
HCC,HCCEQN,EQ,,0,0.28,1.81,15.47,0,0,-,31.42,15.15,15.75
LTF,LTFEQN,EQ,,0,4.8,1.8,266.2,0,0,-,329.45,136.81,271.0
POWERGRID,POWERGRIDEQN,EQ,,0,5.3,1.8,295.2,0,0,-,322.0,250.0,300.5
OSIAHYPER,OSIAHYPEREQN,EQ,,0,0.14,1.8,7.79,0,0,-,33.08,7.76,7.93
GODREJPROP,GODREJPROPEQN,EQ,,0,29.4,1.79,1645.6,0,0,-,2506.5,1475.0,1675.0
CRISIL,CRISILEQN,EQ,,0,74.8,1.79,4174.2,0,0,-,6139.0,3973.6,4249.0
E2E,E2EBEN,BE,,0,41.2,1.79,2306.8,0,0,-,3894.7,1710.05,2348.0
BLBLIMITED,BLBLIMITEDBEN,BE,,0,0.31,1.79,17.28,0,0,-,22.47,12.0,17.59
PRIVISCL,PRIVISCLEQN,EQ,,0,52.1,1.78,2927.9,0,0,-,3440.5,1472.0,2980.0
SUDARSCHEM,SUDARSCHEMEQN,EQ,,0,14.15,1.78,795.85,0,0,-,1603.0,776.55,810.0
RCF,RCFEQN,EQ,,0,1.95,1.77,109.95,0,0,-,166.5,108.46,111.9
TCI,TCIEQN,EQ,,0,16.9,1.76,961.2,0,0,-,1289.0,931.3,978.1
TEMBO,TEMBOEQN,EQ,,0,9.35,1.76,532.65,0,0,-,837.0,386.0,542.0
FRACTAL,FRACTALEQN,EQ,,0,13.7,1.76,776.3,0,0,-,921.0,733.7,790.0
VSTTILLERS,VSTTILLERSEQN,EQ,,0,89.5,1.76,5098.5,0,0,-,6374.0,3150.05,5188.0
REFEX,REFEXEQN,EQ,,0,3.67,1.75,209.33,0,0,-,534.0,201.0,213.0
COCHINSHIP,COCHINSHIPEQN,EQ,,0,25.4,1.75,1454.6,0,0,-,2545.0,1224.55,1480.0
WABAG,WABAGEQN,EQ,,0,20.6,1.75,1179.4,0,0,-,1680.0,1033.0,1200.0
