Unnamed: 0,Symbol,PREV. CLOSE,IEP,Chng,%Chng,Final,Final Quantity,Value(₹ Crores),NM 52w H,NM 52w L,Unnamed: 11
,CCHHL,13.1,13.0,-0.1,-0.76,13.0,10,0.00,20.99,12.04,
,BHARATFORG,1923.9,1909.2,-14.7,-0.76,1909.2,4217,0.81,1935.50,919.10,
,AVANTEL,145.11,144.0,-1.11,-0.76,144.0,3845,0.06,215.00,97.33,
,SUDEEPPHRM,583.25,578.8,-4.45,-0.76,578.8,560,0.03,795.00,524.05,
,TVSHLTD,14089.0,13980.0,-109.0,-0.77,13980.0,11,0.02,16297.00,7904.70,
,XCHANGING,62.68,62.2,-0.48,-0.77,62.2,946,0.01,104.50,60.10,
,PGHL,4887.5,4850.0,-37.5,-0.77,4850.0,59,0.03,6739.00,4780.00,
,CHALET,763.85,758.0,-5.85,-0.77,758.0,222,0.02,1082.00,727.00,
,DYCL,280.2,278.05,-2.15,-0.77,278.05,296,0.01,526.75,227.50,
,GREENPOWER,9.07,9.0,-0.07,-0.77,9.0,20787,0.02,15.81,8.69,
,JAGSNPHARM,173.34,172.0,-1.34,-0.77,172.0,107,0.00,301.65,155.00,
,IRMENERGY,216.58,214.88,-1.7,-0.78,214.88,920,0.02,393.00,185.00,
,BIRLACABLE,139.09,138.0,-1.09,-0.78,138.0,263,0.00,215.20,123.00,
,PRIVISCL,2900.5,2878.0,-22.5,-0.78,2878.0,90,0.03,3440.50,1438.55,
,SYNGENE,399.7,396.6,-3.1,-0.78,396.6,588,0.02,760.00,387.05,
,INFOMEDIA,5.14,5.1,-0.04,-0.78,5.1,238,0.00,9.89,4.50,
,JKCEMENT,5426.5,5383.5,-43.0,-0.79,5383.5,236,0.13,7565.50,4218.90,
,SULA,166.12,164.8,-1.32,-0.79,164.8,1385,0.02,335.90,159.87,
